model,item_id,helper,score_mean,score_std,score_range,mean_similarity,std_similarity,min_similarity,max_similarity,n_reasonings
claude-3-5-haiku-20241022,01,helper_a,-3.0,0.0,0.0,0.9343128556395737,0.015164213616947983,0.9030989959035692,0.977517093114029,10
claude-3-5-haiku-20241022,01,helper_b,2.0,0.0,0.0,0.8903549619165723,0.027568050225845166,0.8278464958004996,0.9337605751742792,10
claude-3-5-haiku-20241022,02,helper_a,-2.0,0.0,0.0,0.8761533639864305,0.03503681692223791,0.8231595352358725,0.9506512804481404,10
claude-3-5-haiku-20241022,02,helper_b,2.0,0.0,0.0,0.9112896774077339,0.027804748161975777,0.8523054349891255,0.9654448965797808,10
claude-3-5-haiku-20241022,03,helper_a,1.1,0.3,1.0,0.8611179152374587,0.02714844831375457,0.7948487036001607,0.9188398712997652,10
claude-3-5-haiku-20241022,03,helper_b,1.9,0.3,1.0,0.8654464403340175,0.026437490724632487,0.804913710583894,0.9239591343766413,10
claude-3-5-haiku-20241022,04,helper_a,-2.0,0.0,0.0,0.8970890699265244,0.029855462175081046,0.8222578824004879,0.9687188617733391,10
claude-3-5-haiku-20241022,04,helper_b,-2.9,0.3,1.0,0.891170676231842,0.0317891941030887,0.8163561050173193,0.9623899145053307,10
claude-3-5-haiku-20241022,05,helper_a,2.0,0.0,0.0,0.8793270397009354,0.031880124617808314,0.8012529467346393,0.9475361813882434,10
claude-3-5-haiku-20241022,05,helper_b,-2.0,0.0,0.0,0.876980601113867,0.027291137261570717,0.8191371062561053,0.9507781204215006,10
claude-3-5-haiku-20241022,06,helper_a,-2.0,0.0,0.0,0.8781870769634567,0.03979875249417203,0.776876663430965,0.9633333780798131,10
claude-3-5-haiku-20241022,06,helper_b,1.1,0.8306623862918074,3.0,0.8652420864701271,0.03544825085765431,0.7996397808657857,0.9515261277878104,10
claude-3-5-haiku-20241022,07,helper_a,2.0,0.0,0.0,0.8673403958798728,0.03316381571980078,0.7792661918185224,0.9410204071830266,10
claude-3-5-haiku-20241022,07,helper_b,1.0,0.0,0.0,0.8182806543952825,0.06738003601135,0.6359555163006522,0.9298469470636419,10
claude-3-5-haiku-20241022,08,helper_a,-3.0,0.0,0.0,0.8701231270273695,0.026510023137594013,0.809385678647402,0.9353125258229302,10
claude-3-5-haiku-20241022,08,helper_b,-1.5,0.9219544457292888,3.0,0.8972706021012914,0.02198548838522876,0.8456156048866206,0.9409127030119551,10
claude-3-5-haiku-20241022,09,helper_a,-0.9,0.30000000000000004,1.0,0.8773153394376937,0.034115758832990555,0.8070125312947444,0.9393143176495217,10
claude-3-5-haiku-20241022,09,helper_b,1.2,0.4,1.0,0.9176844630816635,0.040780449628702496,0.8357253903388097,0.9733225677169387,10
claude-3-5-haiku-20241022,10,helper_a,1.8,0.4,1.0,0.877231594175028,0.02633226436629808,0.8174642360126041,0.9269998947900793,10
claude-3-5-haiku-20241022,10,helper_b,-3.0,0.0,0.0,0.9093890070264715,0.02014005849910331,0.8491383330771557,0.946284320273133,10
claude-3-5-haiku-20241022,11,helper_a,-2.0,0.0,0.0,0.8769090452802727,0.02717193692208585,0.8115865511344187,0.9175185928728675,10
claude-3-5-haiku-20241022,11,helper_b,2.0,0.0,0.0,0.9145904007516447,0.018528040969784783,0.8771872904213718,0.9626436771740458,10
claude-3-5-haiku-20241022,12,helper_a,2.0,0.0,0.0,0.8908222405403191,0.029398416297951358,0.8181984711194625,0.9380915565517873,10
claude-3-5-haiku-20241022,12,helper_b,-2.0,0.0,0.0,0.8783499240302894,0.04861460178496554,0.7770436013495511,0.9667636517083913,10
claude-3-5-haiku-20241022,13,helper_a,-2.1,0.3,1.0,0.9018950742295835,0.040487232539248776,0.7778883558514553,0.9702175540337307,10
claude-3-5-haiku-20241022,13,helper_b,2.0,0.0,0.0,0.9081055279287558,0.024386340502708718,0.8552375656714725,0.9547322963002597,10
claude-3-5-haiku-20241022,15,helper_a,-2.0,0.0,0.0,0.8901719912561271,0.02977610480691921,0.8328080255306068,0.9557863148813162,10
claude-3-5-haiku-20241022,15,helper_b,2.0,0.0,0.0,0.8716003234015417,0.04207201038020663,0.7716039674486297,0.9394528495356531,10
claude-3-5-haiku-20241022,16,helper_a,-2.0,0.0,0.0,0.8919929714787609,0.02208670572301291,0.8442542256144556,0.9481983596130513,10
claude-3-5-haiku-20241022,16,helper_b,-2.0,0.0,0.0,0.9044393202828384,0.04701791093239569,0.7750485854827577,0.9721747984909148,10
claude-3-5-haiku-20241022,17,helper_a,-0.8,0.4,1.0,0.889915510175984,0.03351563060741349,0.8077248583218762,0.965596533602535,10
claude-3-5-haiku-20241022,17,helper_b,-1.3,0.45825756949558405,1.0,0.8731449651380654,0.032322935703969866,0.8061573551543483,0.9431630503384435,10
claude-3-5-haiku-20241022,18,helper_a,-3.0,0.0,0.0,0.9059604660150984,0.02842905697137121,0.8346813919481696,0.9565107170040277,10
claude-3-5-haiku-20241022,18,helper_b,-0.4,1.685229954635272,4.0,0.8352656086734113,0.0419583957820137,0.7354809140262184,0.9162602951792471,10
claude-3-5-haiku-20241022,19,helper_a,-1.1,0.3,1.0,0.8917410218687267,0.03723319443829895,0.7902117744066958,0.9572478286859273,10
claude-3-5-haiku-20241022,19,helper_b,2.0,0.0,0.0,0.8943684056627518,0.02898075571877022,0.8007243503014576,0.9477873769987375,10
claude-3-5-haiku-20241022,20,helper_a,2.0,0.0,0.0,0.8680395888159915,0.035630132197794394,0.8055521794968407,0.9385672998472986,10
claude-3-5-haiku-20241022,20,helper_b,-2.0,0.0,0.0,0.898334689002138,0.029665719399959056,0.8342801269407276,0.9533695304100619,10
claude-3-5-haiku-20241022,21,helper_a,2.0,0.0,0.0,0.9153689168392483,0.01757412362075854,0.884365095854725,0.9587046579386758,10
claude-3-5-haiku-20241022,21,helper_b,-1.2,0.4,1.0,0.853462352484838,0.03986474357352214,0.7730356806688691,0.9176700777290118,10
claude-3-5-haiku-20241022,22,helper_a,-2.0,0.0,0.0,0.8992472269939425,0.0259432387827951,0.838294459546528,0.9605766542109906,10
claude-3-5-haiku-20241022,22,helper_b,1.6,0.48989794855663565,1.0,0.8996983734155108,0.03912092915788613,0.80877240518206,0.9574307029821142,10
claude-3-5-haiku-20241022,23,helper_a,2.0,0.0,0.0,0.8974442616278093,0.034912138182921916,0.824520676059568,0.9749104984964287,10
claude-3-5-haiku-20241022,23,helper_b,-1.4,0.48989794855663565,1.0,0.8850488575331952,0.027094549672821083,0.8137056772556625,0.9251169951929026,10
claude-3-5-haiku-20241022,24,helper_a,-2.0,0.0,0.0,0.8756127461244969,0.038300289795707175,0.80841283965779,0.963635075082943,10
claude-3-5-haiku-20241022,24,helper_b,2.0,0.0,0.0,0.8934124129427464,0.029764410630268776,0.8328059745484422,0.9384458224224344,10
claude-3-5-haiku-20241022,25,helper_a,-2.0,0.0,0.0,0.8733093058920455,0.03359727829171804,0.8028954040275895,0.9590675817315245,10
claude-3-5-haiku-20241022,25,helper_b,-2.0,0.0,0.0,0.8099557704772824,0.05251933508962502,0.693913944111326,0.9513364059451712,10
