respondent,type,siri2_score,model,condition,source
"Claude Opus 4 (Detailed, T=0)",model,19.5,Claude Opus 4,"Detailed, T=0",This study (API)
"Claude Opus 4 (Detailed, T=1)",model,19.6,Claude Opus 4,"Detailed, T=1",This study (API)
"Claude Opus 4 (Detailed + reasoning, T=1)",model,26.1,Claude Opus 4,"Detailed + reasoning, T=1",This study (API)
"Claude Opus 4 (Detailed + reasoning, T=0)",model,28.1,Claude Opus 4,"Detailed + reasoning, T=0",This study (API)
"Claude Sonnet 4 (Detailed, T=1)",model,28.5,Claude Sonnet 4,"Detailed, T=1",This study (API)
"Claude Sonnet 4 (Detailed + reasoning, T=1)",model,28.5,Claude Sonnet 4,"Detailed + reasoning, T=1",This study (API)
"Claude Sonnet 4 (Detailed + reasoning, T=0)",model,29.4,Claude Sonnet 4,"Detailed + reasoning, T=0",This study (API)
"Claude Sonnet 4 (Detailed, T=0)",model,29.5,Claude Sonnet 4,"Detailed, T=0",This study (API)
"Gemini 2.5 Pro (Minimal, T=1)",model,32.1,Gemini 2.5 Pro,"Minimal, T=1",This study (API)
Expert suicidologists (panel mean),expert_panel,32.5,,,Neimeyer & Bonnelle 1997
"Claude 3.5 Sonnet (Detailed, T=1)",model,33.6,Claude 3.5 Sonnet,"Detailed, T=1",This study (API)
"Gemini 2.5 Pro (Minimal, T=0)",model,35.5,Gemini 2.5 Pro,"Minimal, T=0",This study (API)
"Gemini 2.5 Flash (Minimal, T=1)",model,36.5,Gemini 2.5 Flash,"Minimal, T=1",This study (API)
Claude 3.5 Sonnet (chat tool),llm_chat_tool,36.65,,,McBain et al. 2025
"Claude Sonnet 4 (Minimal, T=1)",model,37.4,Claude Sonnet 4,"Minimal, T=1",This study (API)
"Claude Sonnet 4 (Minimal, T=0)",model,37.7,Claude Sonnet 4,"Minimal, T=0",This study (API)
"Claude 3.5 Sonnet (Detailed + reasoning, T=1)",model,37.7,Claude 3.5 Sonnet,"Detailed + reasoning, T=1",This study (API)
"Claude 3.5 Sonnet (Detailed + reasoning, T=0)",model,39.2,Claude 3.5 Sonnet,"Detailed + reasoning, T=0",This study (API)
"Claude 3.5 Sonnet (Detailed, T=0)",model,40.3,Claude 3.5 Sonnet,"Detailed, T=0",This study (API)
"Gemini 2.5 Flash (Minimal, T=0)",model,40.6,Gemini 2.5 Flash,"Minimal, T=0",This study (API)
"Gemini 2.5 Flash (Detailed + reasoning, T=1)",model,41.0,Gemini 2.5 Flash,"Detailed + reasoning, T=1",This study (API)
Master's counselors (post),human,41.0,,,Neimeyer & Bonnelle 1997
"Claude 3.5 Haiku (Detailed, T=1)",model,41.9,Claude 3.5 Haiku,"Detailed, T=1",This study (API)
"Gemini 2.5 Pro (Detailed, T=1)",model,42.7,Gemini 2.5 Pro,"Detailed, T=1",This study (API)
"Claude Opus 4 (Minimal, T=1)",model,42.9,Claude Opus 4,"Minimal, T=1",This study (API)
"Claude 3.5 Haiku (Detailed + reasoning, T=0)",model,42.9,Claude 3.5 Haiku,"Detailed + reasoning, T=0",This study (API)
"Gemini 2.5 Pro (Detailed + reasoning, T=0)",model,43.1,Gemini 2.5 Pro,"Detailed + reasoning, T=0",This study (API)
"Claude 3.5 Haiku (Detailed, T=0)",model,43.1,Claude 3.5 Haiku,"Detailed, T=0",This study (API)
"GPT-4o (Minimal, T=0)",model,43.4,GPT-4o,"Minimal, T=0",This study (API)
"Gemini 2.5 Pro (Detailed + reasoning, T=1)",model,43.5,Gemini 2.5 Pro,"Detailed + reasoning, T=1",This study (API)
"Claude 3.5 Sonnet (Minimal, T=0)",model,43.6,Claude 3.5 Sonnet,"Minimal, T=0",This study (API)
"Gemini 2.5 Flash (Detailed, T=1)",model,43.7,Gemini 2.5 Flash,"Detailed, T=1",This study (API)
"GPT-4o (Detailed, T=0)",model,43.8,GPT-4o,"Detailed, T=0",This study (API)
"Claude 3.5 Haiku (Detailed + reasoning, T=1)",model,44.0,Claude 3.5 Haiku,"Detailed + reasoning, T=1",This study (API)
"GPT-4o (Detailed + reasoning, T=0)",model,45.0,GPT-4o,"Detailed + reasoning, T=0",This study (API)
"GPT-4o (Detailed, T=1)",model,45.3,GPT-4o,"Detailed, T=1",This study (API)
"Gemini 2.5 Pro (Detailed, T=0)",model,45.3,Gemini 2.5 Pro,"Detailed, T=0",This study (API)
