Item,M,SD
1A,-2.71,0.49
1B,1.86,0.38
2A,-2.71,0.49
2B,1.86,0.69
3A,-2.14,1.07
3B,2.14,0.38
4A,1.29,1.11
4B,-2.71,0.49
5A,2.43,0.54
5B,-2.71,0.49
6A,-2.0,1.16
6B,2.57,0.53
7A,2.0,0.86
7B,-1.29,1.7
8A,-2.29,0.49
8B,2.14,0.9
9A,-1.29,1.5
9B,1.29,1.8
10A,2.29,0.76
10B,-2.43,0.98
11A,-2.42,0.54
11B,2.43,0.79
12A,2.0,0.82
12B,-3.0,0.0
13A,-2.57,0.54
13B,2.29,0.95
15A,-2.57,0.79
15B,2.14,0.69
16A,2.14,0.69
16B,-2.86,0.38
17A,1.57,1.27
17B,-1.71,0.95
18A,-2.0,1.41
18B,1.43,1.72
19A,-2.29,0.76
19B,1.57,0.54
20A,2.0,1.41
20B,-2.86,0.38
21A,1.86,1.35
21B,-1.57,0.79
22A,-2.71,0.49
22B,1.43,1.62
23A,1.57,1.4
23B,-2.57,0.54
24A,-2.43,0.79
24B,2.14,0.69
25A,-2.57,0.79
25B,2.43,0.79
